Project name,Data source,Core capacities,PHEICs (response funding),Funder,Funder type,"Funder including specific sub-organization, if any",Recipient,Recipient type,"Recipient including specific sub-organization, if any",Support type,Transaction year range,Amount committed,Amount disbursed,Response-specific transaction year range,Response-specific amount committed,Response-specific amount disbursed,Transaction currency
Global Fund approves flexibilities in Kenya grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Kenya,Government,Kenya,Direct financial support,2020,,"8,369,608.00",2020,0.00,"8,369,608.00",USD
Global Fund approves flexibilities in Kosovo grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Kosovo,,Kosovo,Direct financial support,2020,,"102,942.00",2020,0.00,"102,942.00",USD
Global Fund approves flexibilities in Kyrgyzstan grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Kyrgyzstan,Government,Kyrgyzstan,Direct financial support,2020,,"417,595.00",2020,0.00,"417,595.00",USD
Global Fund approves flexibilities in Lao (Peoples Democratic Republic) grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Lao People's Democratic Republic,Government,Lao People's Democratic Republic,Direct financial support,2020,,"652,428.00",2020,0.00,"652,428.00",USD
Global Fund approves flexibilities in Lesotho grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Lesotho,Government,Lesotho,Direct financial support,2020,,"2,623,662.00",2020,0.00,"2,623,662.00",USD
Global Fund approves flexibilities in Liberia grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Liberia,Government,Liberia,Direct financial support,2020,,"377,730.00",2020,0.00,"377,730.00",USD
Global Fund approves flexibilities in Madagascar grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Madagascar,Government,Madagascar,Direct financial support,2020,,"201,100.00",2020,0.00,"201,100.00",USD
Global Fund approves flexibilities in Malawi grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Malawi,Government,Malawi,Direct financial support,2020,,"740,370.00",2020,0.00,"740,370.00",USD
Global Fund approves flexibilities in Malaysia grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Malaysia,Government,Malaysia,Direct financial support,2020,,"127,556.00",2020,0.00,"127,556.00",USD
Global Fund approves flexibilities in Mali grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Mali,Government,Mali,Direct financial support,2020,,"9,490,246.00",2020,0.00,"9,490,246.00",USD
Global Fund approves flexibilities in Mauritania grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Mauritania,Government,Mauritania,Direct financial support,2020,,"717,732.00",2020,0.00,"717,732.00",USD
Global Fund approves flexibilities in Moldova grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Republic of Moldova,Government,Republic of Moldova,Direct financial support,2020,,"731,650.00",2020,0.00,"731,650.00",USD
Global Fund approves flexibilities in Mongolia grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Mongolia,Government,Mongolia,Direct financial support,2020,,"518,386.00",2020,0.00,"518,386.00",USD
Global Fund approves flexibilities in Montenegro grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Montenegro,Government,Montenegro,Direct financial support,2020,,"1,009.00",2020,0.00,"1,009.00",USD
Global Fund approves flexibilities in Morocco grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Morocco,Government,Morocco,Direct financial support,2020,,"668,892.00",2020,0.00,"668,892.00",USD
Global Fund approves flexibilities in Mozambique grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Mozambique,Government,Mozambique,Direct financial support,2020,,"2,562,791.00",2020,0.00,"2,562,791.00",USD
Global Fund approves flexibilities in Multicountry Caribbean CARICOM-PANCAP grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",CARICOM,Government,CARICOM,Direct financial support,2020,,"96,042.00",2020,0.00,"96,042.00",USD
Global Fund approves flexibilities in Multicountry Caribbean MCC grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Caribbean,Other,Caribbean,Direct financial support,2020,,"92,298.00",2020,0.00,"92,298.00",USD
Global Fund approves flexibilities in Multicountry East Asia and Pacific RAI grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Eastern Asia,Other,Eastern Asia,Direct financial support,2020,,"1,852,727.00",2020,0.00,"1,852,727.00",USD
Global Fund approves flexibilities in Multicountry Eastern Africa IGAD grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",East Africa,Other,East Africa,Direct financial support,2020,,"175,425.00",2020,0.00,"175,425.00",USD
Global Fund approves flexibilities in Multicountry HIV EECA APH grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Eastern Europe and Central Asia,Other,Eastern Europe and Central Asia,Direct financial support,2020,,"440,080.00",2020,0.00,"440,080.00",USD
Global Fund approves flexibilities in Multicountry HIV MENA IHAA grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Middle East and North Africa,Other,Middle East and North Africa,Direct financial support,2020,,"242,792.00",2020,0.00,"242,792.00",USD
Global Fund approves flexibilities in Multicountry Middle East MER grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Middle East,Other,Middle East,Direct financial support,2020,,"284,083.00",2020,0.00,"284,083.00",USD
Global Fund approves flexibilities in Multicountry South-Eastern Asia AFAO grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Southeast Asia,Other,Southeast Asia,Direct financial support,2020,,"144,874.00",2020,0.00,"144,874.00",USD
Global Fund approves flexibilities in Multicountry Southern Africa MOSASWA grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Southern Africa,Other,Southern Africa,Direct financial support,2020,,"77,752.00",2020,0.00,"77,752.00",USD
Global Fund approves flexibilities in Multicountry Southern Africa WHC grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Southern Africa,Other,Southern Africa,Direct financial support,2020,,"915,678.00",2020,0.00,"915,678.00",USD
Global Fund approves flexibilities in Multicountry TB LAC PIH grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Latin America and the Caribbean,Other,Latin America and the Caribbean,Direct financial support,2020,,"54,013.00",2020,0.00,"54,013.00",USD
Global Fund approves flexibilities in Multicountry West Africa ALCO grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",West Africa,Other,West Africa,Direct financial support,2020,,"297,498.00",2020,0.00,"297,498.00",USD
Global Fund approves flexibilities in Multicountry Western Pacific grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Western Pacific,Other,Western Pacific,Direct financial support,2020,,"368,781.00",2020,0.00,"368,781.00",USD
Global Fund approves flexibilities in Myanmar grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Myanmar,Government,Myanmar,Direct financial support,2020,,"6,332,572.00",2020,0.00,"6,332,572.00",USD
Global Fund approves flexibilities in Namibia grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Namibia,Government,Namibia,Direct financial support,2020,,"1,855,338.00",2020,0.00,"1,855,338.00",USD
Global Fund approves flexibilities in Nepal grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Nepal,Government,Nepal,Direct financial support,2020,,"2,489,696.00",2020,0.00,"2,489,696.00",USD
Global Fund approves flexibilities in Nicaragua grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Nicaragua,Government,Nicaragua,Direct financial support,2020,,"563,964.00",2020,0.00,"563,964.00",USD
Global Fund approves flexibilities in Niger grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Niger,Government,Niger,Direct financial support,2020,,"885,164.00",2020,0.00,"885,164.00",USD
Global Fund approves flexibilities in Nigeria grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Nigeria,Government,Nigeria,Direct financial support,2020,,"13,425,597.00",2020,0.00,"13,425,597.00",USD
Global Fund approves flexibilities in Pakistan grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Pakistan,Government,Pakistan,Direct financial support,2020,,"5,519,331.00",2020,0.00,"5,519,331.00",USD
Global Fund approves flexibilities in Panama grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Panama,Government,Panama,Direct financial support,2020,,"100,000.00",2020,0.00,"100,000.00",USD
Global Fund approves flexibilities in Papua New Guinea grant funding to use for COVID-19 Response,Global Fund COVID Approved Funding Report 29-Apr-2021,Unspecified,2019-2021 COVID-19 Pandemic,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Papua New Guinea,Government,Papua New Guinea,Direct financial support,2020,,"1,260,000.00",2020,0.00,"1,260,000.00",USD
